"Country","City","AQI.Value","CO.AQI.Value","Ozone.AQI.Value","NO2.AQI.Value","PM2.5.AQI.Value","Latitude","Longitude"
"Czechia","Pisek",66,1,49,0,66,49.3089887,14.147769
"Russian Federation","Pitkyaranta",35,1,35,0,17,61.5717807,31.4744211
"United States of America","Plainfield",52,1,40,2,52,41.6086711,-88.2054345
"France","Poitiers",39,1,39,0,28,46.5802596,0.340196
"Ukraine","Poltava",46,1,44,0,46,49.5897423,34.5507948
"Thailand","Pong",56,1,14,2,56,19.148938,100.2740052
"India","Ponneri",145,4,37,7,145,13.336164,80.1948281
"Italy","Pontassieve",65,1,65,0,48,43.7738313,11.4346286
"United States of America","Port Hueneme",51,1,38,3,51,34.1477558,-119.1951559
"Italy","Potenza",51,1,51,0,36,40.6384046,15.8022077
"Mexico","Progreso Industrial",181,4,24,9,181,19.6362949,-99.3604385
"Russian Federation","Psebay",41,1,41,0,26,44.1092655,40.7902989
"India","Pundri",162,4,45,9,162,29.7607616,76.5590514
"Chile","Purranque",22,1,22,1,18,-40.9128096,-73.1581888
"Syrian Arab Republic","Qatana",72,1,72,1,59,33.4365009,36.0790235
"Colombia","Quibdo",17,1,17,0,11,5.6923407,-76.6583801
"Poland","Radlin",68,1,45,0,68,50.0486957,18.4791456
"India","Rahuri",153,1,35,2,153,19.3891776,74.6499061
"India","Raikot",165,5,41,12,165,30.6496526,75.5993128
"India","Rajsamand",151,1,29,3,151,25.0585825,73.8880816
"United States of America","Ramsey",51,1,32,1,51,45.2320595,-93.4605008
"India","Ramtek",172,3,34,11,172,21.3957522,79.3257474
"Germany","Raubling",65,1,61,0,65,47.7892574,12.1100042
"United Kingdom of Great Britain and Northern Ireland","Redcar",46,1,38,0,46,54.6179021,-1.0687914
"United States of America","Rehoboth",50,1,44,2,50,41.8403786,-71.2494938
"United Kingdom of Great Britain and Northern Ireland","Reigate",33,1,33,1,30,51.2376557,-0.2057067
"Germany","Reinbek",43,1,43,0,22,53.5098898,10.2511001
"Finland","Riihimaki",36,1,36,1,6,60.7390089,24.7728148
"Mexico","Rincon De Romos",40,1,29,0,40,22.2293637,-102.3229846
"Uruguay","Rio Branco",18,0,18,0,8,-32.588689,-53.3780831
"Brazil","Rio Das Pedras",74,1,30,1,74,-22.8441256,-47.6065667
"United States of America","Rio Grande City",38,0,23,0,38,26.3827771,-98.8205251
"Spain","Ripoll",41,1,41,0,32,42.1982391,2.1932496
"India","Risod",154,2,23,4,154,19.9778005,76.7897566
"United States of America","Riverside",95,3,23,17,95,33.9824949,-117.374238
"Ecuador","Rocafuerte",50,1,23,0,50,-2.1940235,-79.8851049
"France","Roche La Moliere",60,1,47,0,60,45.4348987,4.3212622
"Sierra Leone","Rokupr",21,1,20,0,21,9.012937,-12.948762
"Kenya","Rongai",85,2,12,1,85,-1.395968,36.7520106
"Poland","Olsztyn",39,1,39,0,20,53.7766839,20.476507
"Japan","Onomichi",51,1,46,3,51,34.4088519,133.2051549
"United States of America","Opportunity",43,1,23,2,43,47.6571257,-117.239787
"Namibia","Oshakati",43,0,32,0,43,-17.7826518,15.6986
"United States of America","Ossining",51,1,45,1,51,41.1613168,-73.8620367
"Mexico","Ozumba",161,1,38,3,161,19.2156054,-97.7334508
"South Africa","Paarl",171,6,15,9,171,-33.7310282,18.9642117
"Russian Federation","Pallasovka",50,1,50,0,11,50.045901,46.8896382
"United States of America","Palm Desert",49,1,30,3,49,33.7288179,-116.382571
"Spain","Palma",42,1,42,0,31,39.5695818,2.6500745
"Cuba","Palmira",43,1,34,0,43,22.2414566,-80.3931021
"United States of America","Palos Heights",58,1,36,4,58,41.6681632,-87.7962812
"Indonesia","Pamanukan",156,3,22,9,156,-6.2841644,107.8210101
"Brazil","Panelas",23,0,23,0,17,-8.661211,-36.012539
"India","Parola",153,1,34,2,153,20.8763635,75.114759
"Italy","Partinico",59,1,55,0,59,38.0438957,13.1198211
"United States of America","Pasco",37,1,28,2,37,46.2306739,-119.0921
"India","Pasighat",59,2,9,3,59,28.0589676,95.3324944
"Brazil","Passira",23,0,23,0,19,-7.976317,-35.5817327
"United States of America","Pearl City",35,0,35,0,34,21.4001231,-157.969428
"Brazil","Coelho Neto",34,0,18,0,34,-4.2535154,-43.0149321
"Guatemala","Comalapa",65,2,18,3,65,14.74071,-90.8877062
"Dominican Republic","Constanza",102,1,35,0,102,18.9065575,-70.7449293
"Mexico","Contla",190,1,35,3,190,19.333333,-98.167778
"Italy","Corato",60,1,60,0,41,41.1527614,16.4114643
"United States of America","Crystal Lake",52,1,32,3,52,42.2411344,-88.3161965
"India","Dahanu",76,1,19,1,76,19.9887244,72.733848
"Serbia","Pec",95,1,39,0,95,NA,NA
"Romania","Pechea",50,1,49,0,50,45.6240574,27.7958074
"United Kingdom of Great Britain and Northern Ireland","Penicuik",39,1,39,0,32,55.827236,-3.2218145
"United States of America","Pennsville",49,1,49,1,38,39.6534464,-75.5165881
"United States of America","Pensacola",82,2,82,1,35,30.421309,-87.2169149
"India","Perambalur",107,2,25,6,107,11.2356695,78.8688353
"Cuba","Perico",30,1,30,0,24,22.7702551,-81.0187689
"United States of America","Perry Hall",46,1,44,2,46,39.4042496,-76.4795561
"Haiti","Petit Goave",103,1,36,0,103,18.4326935,-72.865384
"Thailand","Phayuha Khiri",57,1,17,2,57,15.4581578,100.1368859
"France","Marignane",47,1,47,3,42,43.4162729,5.2146275
"France","Marly",54,1,42,1,54,49.0600241,6.1545719
"Madagascar","Marovoay",47,1,21,0,47,-16.1088044,46.642048
"Switzerland","Martigny",64,1,38,0,64,46.103115,7.0727354
"Japan","Marugame",55,1,32,5,55,34.2888128,133.7982421
"Brazil","Maues",27,1,5,0,27,-3.3795798,-57.7196072
"India","Mayang Imphal",90,3,2,6,90,24.6108831,93.8875401
"United States of America","Mayfield Heights",56,1,37,2,56,41.5192189,-81.457896
"Myanmar","Maymyo",69,2,4,2,69,22.0331367,96.4667341
"Bangladesh","Mehendiganj",80,2,21,5,80,22.823263,90.5275969
"Russian Federation","Melenki",35,1,35,0,26,55.3368374,41.6314063
"Argentina","Mendoza",45,1,16,4,45,-32.8894155,-68.8446177
"China","Mengyin",164,6,54,18,164,35.7200664,117.9462238
"Indonesia","Merauke",34,0,21,0,34,-8.4902766,140.395582
"Italy","Mercato San Severino",69,1,69,0,54,40.7833028,14.7557276
"Germany","Merchweiler",63,1,55,0,63,49.3574002,7.0573454
"United States of America","Midvale",47,1,40,3,47,40.6149174,-111.9106607
"United States of America","Milpitas",50,1,31,4,50,37.4332273,-121.8989248
"United States of America","Minneapolis",52,1,30,2,52,44.9772995,-93.2654692
"Russian Federation","Minyar",40,1,40,0,9,55.0709139,57.5485021
"Brazil","Miracema Do Tocantins",26,0,19,0,26,-9.5617939,-48.3966536
"Brazil","Miracema",30,0,24,0,30,-21.4121,-42.1966
"Japan","Misawa",91,3,36,8,91,40.6829377,141.3692113
"Japan","Mitsuke",116,3,20,14,116,37.53145,138.9126572
"Botswana","Mochudi",39,1,31,0,39,-24.3828605,26.1489495
"Chile","Molina",97,4,2,5,97,-35.1139703,-71.2799798
"Brazil","Moncao",30,0,17,0,30,-3.4842036,-45.2515472
"India","Monoharpur",151,3,19,9,151,NA,NA
"Italy","Monselice",87,1,63,0,87,45.2417684,11.7508534
"Italy","Montemurlo",67,1,67,0,43,43.9269279,11.0366993
"India","Moram",160,2,33,3,160,13.1718011,78.6933633
"Sri Lanka","Moratuwa",89,1,20,3,89,6.7746821,79.8826095
"Malta","Mosta",70,1,70,0,42,35.9079178,14.4241508
"Peru","Motupe",38,1,18,0,38,-6.1544303,-79.717074
"Kenya","Moyale",30,0,15,0,30,3.5159054,39.0584184
"Mexico","Moyotzingo",332,3,26,8,332,19.245278,-98.404722
"Turkey","Mut",46,1,46,0,34,36.6434207,33.437263
"Cameroon","Muyuka",55,1,22,0,55,4.2862078,9.4077181
"Czechia","Nachod",58,1,41,0,58,50.4167025,16.1622871
"Iran (Islamic Republic of)","Nahavand",116,1,28,1,116,NA,NA
"Canada","Nanticoke",31,1,31,0,31,42.8100954,-80.0728118
"India","Kanchrapara",172,5,126,5,172,22.9496431,88.4378838
"Togo","Kande",59,1,15,0,59,NA,NA
"India","Kanth",175,4,175,1,157,23.3392371,77.9830084
"China","Kaohsiung",97,2,97,2,77,NA,NA
"Indonesia","Karanganom",57,1,32,0,57,-7.6463532,110.624519
"Russian Federation","Kasimov",34,1,34,0,32,54.939693,41.39518
"Georgia","Kaspi",33,1,33,0,31,41.9245899,44.4186645
"India","Kayattar",55,0,25,0,55,NA,NA
"India","Kesinga",113,1,39,0,113,20.1903644,83.2196816
"India","Khanapur",63,0,22,0,63,15.639879,74.5088917
"Nepal","Khandbari",34,1,32,0,34,27.3666794,87.2067999
"Tunisia","Duz",124,1,44,0,124,33.4571102,9.0249829
"United States of America","East Brunswick",55,2,28,11,55,40.4278841,-74.415984
"United States of America","East Hemet",55,1,15,10,55,33.7400206,-116.9389122
"United States of America","East Lake",52,1,20,10,52,33.7526058,-84.304368
"Belgium","Edegem",63,1,27,8,63,51.1548066,4.4458312
"Spain","Eibar",62,1,17,3,62,43.1842839,-2.4732748
"Nigeria","Ekpoma",58,2,18,1,58,6.742063,6.139003
"Guatemala","El Estor",38,1,13,1,38,15.5313737,-89.33241
"Spain","El Puerto De Santa Maria",28,0,28,2,12,36.6004006,-6.2252702
"Colombia","El Zulia",62,1,8,3,62,7.9312397,-72.6011003
"United States of America","Elk Grove Village",65,2,14,19,65,42.0087978,-87.9414608
"United States of America","Ellensburg",58,1,40,1,58,46.9970635,-120.545122
"United States of America","Dothan",58,2,26,8,58,31.2237285,-85.3934375
"Germany","Drochtersen",57,1,29,6,57,53.7095145,9.3854026
"Ukraine","Dunayivtsi",56,1,31,1,56,NA,NA
"Brazil","Marilia",22,1,7,1,22,-22.2172002,-49.9500061
"Colombia","Mariquita",61,2,5,4,61,5.1974195,-74.8939527
"United States of America","Marshfield",42,1,26,3,42,44.6662287,-90.1740313
"Italy","Martina Franca",47,1,47,1,27,40.7042378,17.3399908
"India","Mawana",157,3,119,1,157,29.099061,77.9208609
"Kingdom of Eswatini","Mbabane",114,2,21,3,114,NA,NA
"Central African Republic","Mbaiki",86,2,15,0,86,3.8728278,17.9860847
"Switzerland","Meilen",53,1,31,2,53,47.270428,8.6412249
"Germany","Meitingen",65,1,34,3,65,48.5455295,10.8523018
"Poland","Miechow",65,1,34,1,65,50.3566016,20.0276912
"Cameroon","Mindif",74,2,23,0,74,10.4014393,14.4425653
"Japan","Mizusawa",49,1,46,2,49,35.5923248,139.5426093
"Gabon","Moanda",78,3,15,0,78,-1.554764,13.2218993
"United States of America","Modesto",53,1,26,9,53,37.6393419,-120.9968892
"Italy","Mola Di Bari",45,1,45,1,21,41.0613232,17.0917111
"Kenya","Mombasa",51,1,24,0,51,-4.05052,39.667169
"Cameroon","Monatele",42,1,17,0,42,4.258913,11.204417
"Italy","Mondolfo",56,1,46,2,56,43.7507687,13.0968907
"Dominican Republic","Monte Plata",159,5,5,12,159,18.8101455,-69.7845099
"Italy","Montecorvino Rovella",47,1,47,2,45,40.6959126,14.9761046
"Jamaica","Montego Bay",106,1,19,3,106,18.4724603,-77.9217357
"Netherlands","Montfoort",34,1,29,5,34,52.0441945,4.9514009
"France","Montigny En Gohelle",51,1,32,3,51,50.4269,2.92988
"Portugal","Montijo",31,1,31,4,28,38.7060845,-8.9746372
"Honduras","Morazan",74,2,3,3,74,15.3245556,-87.5989211
"Japan","Menuma",87,1,87,1,66,36.2248884,139.3753374
"United States of America","Metairie",48,2,37,9,48,29.9899926,-90.1505426
"United Republic of Tanzania","Mgandu",18,0,18,0,17,-4.5086564,38.0830353
"Peru","Abancay",24,1,0,2,24,-13.6373482,-72.8788744
"Brazil","Agrestina",22,0,17,1,22,-8.4558021,-35.9442663
"Brazil","Aguas Belas",21,0,12,1,21,-9.1113156,-37.1225218
"Côte d'Ivoire","Akoupe",61,1,19,0,61,6.3815237,-3.8859041
"India","Alangulam",57,0,24,0,57,8.8669548,77.4959792
"India","Alappuzha",76,1,24,0,76,9.4923271,76.3291487
"United States of America","Albert Lea",42,1,42,1,42,43.6480127,-93.3682656
"Spain","Alcala De Henares",27,1,27,3,18,40.481954,-3.363981
"Spain","Alcaniz",31,1,31,1,20,41.0506674,-0.1299694
"Spain","Alcantarilla",31,1,31,1,26,37.9680649,-1.2149543
"Spain","Alcorcon",26,1,20,4,26,40.3492998,-3.8284295
"Netherlands","Almere",31,0,31,2,15,52.3705038,5.2185859
"China","Dali",25,1,17,1,25,25.5969683,100.2468841
"Germany","Delbruck",39,1,34,2,39,51.7649178,8.5594953
"Egypt","Deshna",158,2,49,6,158,NA,NA
"India","Dhampur",168,3,168,1,152,29.3076322,78.5096181
"India","Dharapuram",51,0,24,0,51,10.7369082,77.5260968
"India","Digboi",25,1,25,0,16,27.3956145,95.614868
"United States of America","Dobbs Ferry",110,4,4,35,110,41.0145418,-73.872635
"Sudan","Doka",61,1,18,0,61,13.5247033,35.7622577
"Italy","Dolo",60,2,31,7,60,45.4234963,12.074405
"Russian Federation","Domodedovo",73,2,23,14,73,55.4368213,37.7680693
"India","Khetia",137,2,26,4,137,21.6730764,74.5922518
"Iran (Islamic Republic of)","Khonsar",112,0,36,0,112,NA,NA
"India","Khurai",160,3,67,2,160,24.0433521,78.3270355
"Ethiopia","Kibre Mengist",52,1,11,0,52,5.8733621,38.9953839
"Germany","Kierspe",54,1,45,0,54,51.1278531,7.6006513
"United Republic of Tanzania","Kimamba",19,0,19,0,16,-7.6617512,36.0800909
"Russian Federation","Kingisepp",34,1,34,0,5,59.3743982,28.5981591
"Russian Federation","Kizlyar",60,1,43,0,60,43.8546727,46.7139329
"France","Kleinblittersdorf",66,1,54,0,66,NA,NA
"Austria","Knittelfeld",63,1,40,0,63,47.2147399,14.8297233
"India","Kolhapur",89,2,23,4,89,16.7028412,74.2405329
"Russian Federation","Koltsovo",40,1,40,2,18,54.9367736,83.187139
"Japan","Komaki",126,3,6,23,126,35.3066073,136.934098
"Viet Nam","Kon Tum",59,1,8,3,59,14.3615256,108.0039102
"India","Konnagar",214,12,2,27,214,22.69972,88.3519784
"Poland","Koronowo",42,1,42,0,22,53.3140636,17.9369813
"Japan","Kosai",77,2,32,6,77,34.7184772,137.5315645
"China","Kouqian",137,4,46,9,137,43.6694018,126.5067135
"Russian Federation","Krasnoyarsk 45",41,1,28,0,41,56.11356,94.589279
"India","Krishnarajpet",67,1,13,5,67,NA,NA
"Germany","Krumbach",66,1,58,0,66,48.2430587,10.3631004
"Malaysia","Kuala Lipis",70,2,10,3,70,4.1869878,102.0544343
"Germany","Kulmbach",54,1,49,0,54,50.1008448,11.4479149
"Sweden","Kungalv",41,1,41,0,11,57.8707951,11.9799616
"Russian Federation","Kurchaloy",58,1,44,2,58,43.20005,46.090786
"Estonia","Kuressaare",35,1,35,0,17,58.2527693,22.4849207
"India","Kushtagi",69,1,32,2,69,15.7571579,76.190682
"Russian Federation","Kuvshinovo",31,1,31,0,10,57.0314657,34.1796637
"China","Kuytun",84,1,20,4,84,44.4245113,84.9006885
"Myanmar","Kyaukse",66,1,6,3,66,21.7252272,96.6035932
"Spain","La Algaba",42,1,42,0,15,37.4619114,-6.0137162
"Dominican Republic","La Mata",118,1,31,3,118,19.0967017,-70.1644498
"United States of America","La Palma",85,3,22,19,85,33.846404,-118.0467306
"United States of America","La Vista",42,1,39,3,42,41.1832679,-96.0324044
"South Africa","Lady Frere",36,1,16,1,36,-31.7027778,27.2336111
"Finland","Lahti",34,1,34,0,4,60.9826014,25.6613764
"Germany","Laichingen",63,1,53,0,63,48.4896773,9.6861474
"Ethiopia","Lalibela",120,1,26,0,120,12.0360639,39.0456845
"India","Lalitpur",163,3,44,5,163,24.6935695,78.4178866
"Nigeria","Lalupon",84,2,45,0,84,7.452414,4.0423336
"Dominican Republic","Las Matas De Farfan",100,1,35,0,100,18.8732633,-71.5225895
"Mexico","Las Varas",95,2,22,1,95,21.1805677,-105.1365019
"India","Latur",162,2,35,3,162,18.3982273,76.5625913
"United Kingdom of Great Britain and Northern Ireland","Leatherhead",33,0,33,1,28,51.2955044,-0.32931
"Poland","Leczyca",42,1,42,0,37,52.0593858,19.2016434
"Italy","Leini",80,1,60,0,80,45.1845815,7.7132706
"United States of America","Lemon Grove",50,1,34,6,50,32.7425516,-117.0314172
"United States of America","Lewisville",71,2,30,6,71,33.046233,-96.994174
"Philippines","Libog",61,1,22,1,61,13.2371495,123.7774835
"Mexico","Linares",52,1,24,0,52,24.8596282,-99.5684539
"China","Linjiang",78,2,49,1,78,41.8092486,126.9128334
"Democratic Republic of the Congo","Lisala",71,2,8,0,71,2.1473937,21.5156742
"Bosnia and Herzegovina","Livno",96,1,41,0,96,43.8259136,17.0042416
"Angola","Lobito",52,1,20,0,52,-12.3506867,13.5464318
"Russian Federation","Lobnya",32,1,32,5,29,56.0104473,37.4670831
"Germany","Lollar",56,1,50,0,56,50.6696,8.694
"United States of America","Longview",46,1,37,4,46,32.5007031,-94.74049
"United Kingdom of Great Britain and Northern Ireland","Louth",45,1,36,1,45,53.3675163,-0.0022381
"Germany","Lubbecke",43,1,43,0,36,52.3027209,8.6183054
"Malawi","Luchenza",62,1,21,0,62,-16.0051495,35.3089264
"Bosnia and Herzegovina","Lukavac",63,1,50,0,63,44.5344136,18.5325309
"Albania","Lushnje",93,1,48,0,93,40.9422038,19.7059724
"Uganda","Luwero",102,2,12,1,102,0.4779014,33.8055239
"Italy","Luzzi",49,1,49,0,43,39.446105,16.287255
"China","Maanshan",183,9,0,42,183,31.6866105,118.5048377
"Pakistan","Mach",124,1,35,1,124,NA,NA
"India","Sarauli",170,4,168,1,170,23.2002312,80.4091407
"Philippines","Saug",31,0,15,0,31,7.5382999,125.753854
"Russian Federation","Sayansk",34,1,34,0,24,54.1123301,102.1785158
"Italy","Scalea",53,1,40,2,53,39.8144401,15.7914225
"Italy","Scorze",60,2,45,4,60,45.5713541,12.108383
"United States of America","Scott Lake",158,6,7,17,158,46.0219004,-88.5767988
"United States of America","Scottsdale",50,1,20,15,50,33.4942189,-111.926018
"Germany","Selm",36,1,33,2,36,51.7005549,7.468614
"India","Seoni",173,1,36,0,173,22.0910049,79.5507791
"India","Serchhip",31,1,31,0,13,23.3095426,92.857116
"Russian Federation","Serpukhov",55,1,30,2,55,54.9155247,37.4195533
"Armenia","Sevan",32,1,32,0,23,40.5485209,44.957243
"United States of America","Seven Hills",36,2,34,5,36,41.3953304,-81.6762392
"Colombia","Sevilla",71,2,2,5,71,4.2645071,-75.934396
"Bulgaria","Sevlievo",39,1,39,0,32,43.0263036,25.1040867
"India","Shamgarh",192,1,36,0,192,24.1841353,75.6352263
"China","Shaoyang",159,4,159,4,108,27.2431609,111.4624572
"Italy","Somma Vesuviana",62,1,48,4,62,40.8716147,14.4361417
"India","Sonegaon",168,1,29,0,168,20.9162227,79.7106463
"China","Songjianghe",37,2,37,0,27,42.1724747,127.4780615
"Iran (Islamic Republic of)","Sonqor",70,1,54,0,70,NA,NA
"Russian Federation","Sortavala",50,1,30,3,50,61.70274,30.691231
"United States of America","South Elgin",51,1,32,8,51,41.9941938,-88.2922996
"South Africa","Springbok",34,0,15,1,34,-29.6660948,17.8831039
"Italy","Squinzano",71,1,71,1,47,40.436528,18.04182
"South Africa","Stellenbosch",181,11,12,8,181,-33.934444,18.869167
"United Kingdom of Great Britain and Northern Ireland","Stockport",61,1,15,11,61,53.407901,-2.160243
"United States of America","Stratford",87,4,5,39,87,36.3361403,-102.072119
"Bolivia (Plurinational State of)","Sucre",14,0,6,0,14,NA,NA
"Germany","Suhl",70,1,38,2,70,50.6086518,10.6926437
"Germany","Sulingen",34,0,34,1,17,52.6828374,8.8018923
"Costa Rica","San Diego",56,2,5,11,56,9.8998392,-84.0023103
"Dominican Republic","San Jose De Ocoa",76,2,6,10,76,18.546405,-70.5056703
"Mexico","San Juan De La Vega",122,2,5,10,122,20.6258833,-100.7621826
"Guatemala","San Juan Sacatepequez",119,3,3,9,119,14.7184317,-90.6434057
"Guatemala","San Lucas Sacatepequez",122,3,2,10,122,14.6113383,-90.6549806
"Venezuela (Bolivarian Republic of)","San Mateo",58,1,15,7,58,NA,NA
"Nicaragua","San Rafael Del Sur",60,1,19,1,60,11.7637351,-86.5943729
"Philippines","Sangali",104,0,14,0,104,7.0736762,122.2011183
"India","Sankrail",165,4,96,5,165,22.2098128,87.1349099
"Austria","Sankt Andra",80,1,32,1,80,46.7661111,14.8236111
"Brazil","Santa Cruz Do Sul",66,2,8,5,66,-29.714209,-52.4285807
"Brazil","Santa Luzia",20,0,16,0,20,-19.7702097,-43.8505291
"India","Sanwer",172,1,39,0,172,22.9778614,75.8466312
"Brazil","Sao Manuel",71,2,9,3,71,-22.732081,-48.572316
"India","Baidyabati",225,10,9,23,225,NA,NA
"Slovakia","Balassagyarmat",62,1,59,0,62,NA,NA
"Republic of Moldova","Balti",56,1,53,0,56,47.7623952,27.9286022
"Thailand","Bang Pakong",113,3,7,9,113,13.5006858,100.9892704
"Thailand","Bang Yai",164,5,4,13,164,13.8354131,100.3655147
"India","Banka",132,3,45,5,132,22.4735231,79.0144855
"Pakistan","Bannu",176,3,114,1,176,32.9857007,70.6036017
"India","Baramati",156,2,38,2,156,18.1478834,74.5733979
"India","Barwala",166,4,126,5,166,29.3661169,75.9070661
"India","Baswa",169,3,102,3,169,27.1500097,76.5828235
"Brazil","Batatais",48,1,22,0,48,-20.892867,-47.592149
"Australia","Batemans Bay",29,0,29,0,19,-35.7072183,150.178289
"Cameroon","Batouri",49,1,19,0,49,4.4357583,14.3645181
"United States of America","Battle Creek",64,1,32,1,64,42.3192548,-85.1824269
"Spain","Baza",36,0,36,0,18,37.4888637,-2.7709805
"United States of America","Beaumont",68,2,34,6,68,30.0829344,-94.0984277
"Indonesia","Bekasi",193,9,16,29,193,-6.2349858,106.9945444
"Mauritius","Bel Air",60,1,27,0,60,-20.2559923,57.7570432
"Brazil","Belem De Sao Francisco",20,0,20,0,14,NA,NA
"Turkey","Belen",39,1,39,0,27,37.040724,34.7040426
"Switzerland","Bellinzona",87,1,41,0,87,46.1920538,9.0205888
"India","Berasia",164,2,57,2,164,23.6299232,77.4251686
"Albania","Berat",91,1,47,0,91,40.7018636,19.9580758
"Belgium","Beveren",47,1,38,2,47,51.212611,4.2577808
"India","Bhavnagar",103,1,27,1,103,21.7718836,72.1416449
"India","Bhikhi",162,4,42,13,162,30.0591052,75.5346778
"India","Bilgram",161,3,59,6,161,27.1749307,80.0327344
"India","Bindki",180,4,101,6,180,26.0364054,80.5761014
"Germany","Bitterfeld",46,1,46,0,44,51.6239124,12.3301466
"United States of America","Bixby",60,2,33,5,60,35.9420431,-95.8833235
"United States of America","Blacksburg",43,1,43,0,18,37.2296566,-80.4136767
"Poland","Bochnia",70,1,46,0,70,49.9693563,20.430541
"Germany","Bockenem",44,1,44,0,37,52.0111484,10.1331159
"Poland","Bogatynia",55,1,43,0,55,50.9077147,14.9539185
"Russian Federation","Bolshaya Glushitsa",44,1,44,0,12,52.3921744,50.4723158
"Russian Federation","Bolshoy Kamen",97,2,58,2,97,43.1121194,132.3509104
"Uganda","Bombo",127,3,13,1,127,0.5770175,32.5370142
"United States of America","Bon Air",50,1,39,2,50,33.2637246,-86.3355323
"France","Bondy",69,1,46,1,69,48.9031,2.48291
"Ethiopia","Bonga",24,1,16,0,24,7.2645383,36.2460526
"Russian Federation","Borovsk",38,1,38,0,18,55.2072635,36.4827133
"Turkey","Boyabat",43,1,43,0,28,41.4689736,34.7672274
"Uzbekistan","Boz",131,1,31,13,131,40.6900129,71.9296399
"South Africa","Breyten",53,1,18,5,53,-26.30237,29.987064
"Mexico","Buenos Aires",43,1,28,0,43,18.0191817,-102.281671
"Australia","Burnie",26,0,26,1,12,-41.0523688,145.9064073
"Spain","Burriana",41,1,41,0,14,39.8876912,-0.0846321
"Turkey","Bursa",54,1,43,0,54,40.1825734,29.0675039
"United Kingdom of Great Britain and Northern Ireland","Bury",40,1,35,1,40,53.5927543,-2.2972827
"Mexico","Caborca",85,1,24,1,85,30.7166014,-112.1562598
"Germany","Cadolzburg",64,1,52,0,64,49.4591406,10.8563868
"India","Calcutta",195,8,10,19,195,22.5726459,88.3638953
"Italy","Calenzano",67,1,67,0,45,43.8652493,11.1673685
"Brazil","Camacari",22,0,22,0,18,-12.6998188,-38.3260762
"Australia","Canberra",24,0,24,1,11,-35.2975906,149.1012676
"Brazil","Capinzal",25,1,11,0,25,-27.3440651,-51.6110403
"Brazil","Capivari",77,1,33,1,77,-22.9999295,-47.5031066
"Portugal","Carnaxide",41,1,41,1,20,38.7255312,-9.2463156
"Venezuela (Bolivarian Republic of)","Carrizal",59,1,34,1,59,NA,NA
"France","Carvin",49,1,38,1,49,50.4934145,2.9577519
"United States of America","Cary",55,1,30,3,55,35.7882893,-78.7812081
"Spain","Castro Urdiales",41,1,41,0,18,43.3843347,-3.2162576
"Italy","Cercola",72,1,72,1,56,40.8600227,14.3589664
"Trinidad and Tobago","Chaguanas",59,0,25,2,59,10.5147394,-61.4076757
"Guatemala","Chajul",41,1,24,0,41,15.4849204,-91.0364217
"India","Chakia",155,4,43,7,155,25.0483283,83.2195469
"India","Champdani",220,10,9,23,220,NA,NA
"France","Champigny Sur Marne",71,1,45,1,71,48.8137847,2.510611
"Mexico","Chetumal",57,1,27,0,57,18.5081738,-88.297144
"India","Chhata",177,5,41,13,177,27.7469713,77.4925315
"Chile","Chimbarongo",94,4,2,4,94,-34.708953,-71.0403642
"Zambia","Chinsali",30,0,24,0,30,-10.549972,32.0660837
"Japan","Chofu",84,2,25,19,84,35.6506036,139.5407066
"France","Cholet",38,1,38,0,23,47.0617293,-0.8801359
"China","Choucheng",181,10,0,25,181,NA,NA
"Burundi","Cibitoke",68,1,28,0,68,-2.8919231,29.1244074
"Indonesia","Ciledug",166,7,11,19,166,-6.2411161,106.704293
"Italy","Cinisello Balsamo",90,1,66,0,90,45.5586454,9.2141955
"Italy","Civitavecchia",74,1,74,0,27,42.0937524,11.7922462
"France","Clermont Ferrand",59,1,41,0,59,45.7774551,3.0819427
"Germany","Cleves",42,1,38,0,42,51.7895571,6.1376008
"United States of America","Clifton",52,1,46,2,52,40.8584328,-74.1637553
"Ireland","Clonmel",57,1,39,0,57,52.355,-7.703889
"Kenya","Taveta",43,1,18,0,43,-3.4,37.6833
"Philippines","Tayug",89,1,29,1,89,16.0275524,120.7443637
"Romania","Tecuci",44,1,41,0,44,45.8457816,27.4290798
"United States of America","Tehachapi",34,1,34,4,30,35.1321878,-118.4489739
"Guinea","Telimele",51,1,16,0,51,10.9020333,-13.0326711
"Japan","Tendo",35,1,35,1,15,38.3624343,140.3772634
"Canada","Terrace",24,0,24,1,11,54.5172715,-128.599548
"Lesotho","Teyateyaneng",65,2,23,1,65,-29.1519737,27.7427554
"South Africa","Thaba Nchu",90,2,17,3,90,-29.197875,26.832217
"United States of America","The Woodlands",51,1,12,11,51,30.1734194,-95.504686
"Greece","Thermi",63,1,45,0,63,40.547622,23.0200125
"Greece","Thessaloniki",63,1,47,1,63,40.6403167,22.9352716
"United States of America","Thousand Oaks",50,2,31,14,50,34.1705609,-118.8375937
"Israel","Tirat Karmel",132,2,42,9,132,32.7613834,34.9715506
"India","Tiruvannamalai",68,1,35,0,68,12.2343228,79.0761989
"Japan","Tokuyama",46,1,46,2,45,34.0353761,131.793322
"Japan","Tomakomai",33,1,33,0,14,42.6389087,141.6116456
"Russian Federation","Uren",32,1,32,0,4,57.4614974,45.7878911
"Japan","Ushiku",39,1,39,2,38,35.9790551,140.1495982
"Russian Federation","Ust Dzheguta",45,1,45,0,15,44.0858961,41.9722557
